ID,Platform,Genre,Title,Purchase Price £,Purchase Date
1,PlayStation,Action,Shadow Ops: Nightfall,50,01/08/2020
2,Xbox,Action,Inferno Blitz: Operation Havoc,60,01/08/2019
3,PlayStation,Action,Cyber Strike: Sentinel Warfare,60,02/04/2021
4,Xbox,Action,Thunderclash: Chaos Unleashed,45,05/10/2021
5,PlayStation,Action,Titan Assault: War of Legends,45,7/20/2022
6,Xbox,Action,Savage Skies: Anarchy's Edge,65,03/06/2023
7,PlayStation,Action,Ghost Recon: Phantom Fury,50,04/10/2020
8,Xbox,Action,Warfront Havoc: Mercenaries Unleashed,60,2/15/2019
9,PlayStation,Action,Iron Legion: Resurgence,45,06/12/2021
10,Xbox,Adventure,Lost Treasures: Quest for the Ancients,55,08/01/2021
11,PlayStation,Adventure,Enchanted Isles: Chronicles of Mystica,40,9/15/2022
12,Xbox,Adventure,Echoes of Elysium: Secrets Unveiled,65,12/03/2022
13,PlayStation,Adventure,Odyssey of Legends: Realm of Myths,50,03/08/2020
14,Xbox,Adventure,Forgotten Realms: The Epic Quest,60,05/01/2019
15,PlayStation,Adventure,Serpent's Curse: Forbidden Chronicles,45,04/02/2021
16,Xbox,Adventure,Legacy of the Guardians: Epic Odyssey,55,7/15/2021
17,PlayStation,Adventure,Beyond the Horizon: Tales of Discovery,40,02/10/2022
18,Xbox,Adventure,Quest for Elara's Tear: A Hero's Journey,65,11/06/2022
19,PlayStation,Adventure,Tales of the Mystic Isles: Realm Explorers,50,02/10/2020
20,Xbox,Sports,Superstar Strikers: Championship Clash,60,08/02/2019
21,PlayStation,Sports,X-Treme Sports Showdown: Arena Heroes,45,05/01/2021
22,Xbox,Sports,Victory Pursuit: Glory Rivals,55,03/10/2021
23,PlayStation,Sports,Slam Dunk Revolution: Court Kings,40,6/15/2022
24,Xbox,Sports,Turbo Slam League: Power Play,65,10/03/2022
25,PlayStation,Sports,Ice Hockey Heroes: On Thin Ice,50,01/12/2020
26,Xbox,Sports,High-Speed Hoops: Airborne Glory,60,09/05/2019
27,Platform,Sports,Racing All-Stars: Stadium Showdown,45,11/11/2021
28,PlayStation,Sports,Legends of the Gridiron: Gridiron Glory,55,02/07/2022
29,Xbox,Sports,Aerial Showdown: Skyward Skaters,40,4/16/2023
30,PlayStation,Racing,Nitro Rush: Velocity Overdrive,65,7/22/2020
31,Xbox,Racing,Speed Showdown: Drift Dominance,50,05/03/2019
32,PlayStation,Racing,Road Warriors: Racing Revolution,60,06/09/2021
33,Xbox,Racing,Asphalt Mayhem: Urban Adrenaline,45,03/12/2021
34,PlayStation,Racing,Warp Speed Challenge: Galactic Racers,55,5/16/2022
35,Xbox,Racing,Off-Road Renegades: Rally Rush,40,8/25/2022
36,PlayStation,Racing,Circuit Domination: Velocity Storm,65,1/20/2020
37,Xbox,Racing,Asphalt Adrenaline: Supercar Showdown,50,09/02/2019
38,PlayStation,Racing,Nitro Overdrive: Thunder Road,60,12/05/2021
39,Xbox,Racing,World Tour: Grand Prix Global,45,07/10/2022
40,PlayStation,RPG,Heroes' Quest: Realm of Legends,55,06/08/2020
41,Xbox,RPG,Divine Destiny: Chronicles of Eldoria,40,5/13/2019
42,PlayStation,RPG,Prophecy's End: Kingdoms Reborn,65,04/06/2021
43,Xbox,RPG,Eternal Heroes: Legacy of the Realms,50,8/25/2021
44,PlayStation,RPG,Sacred Scrolls: Celestial Odyssey,60,03/02/2022
45,Xbox,RPG,Mystic Chronicles: Arcane Realms,45,01/06/2022
46,PlayStation,RPG,Lost Dominion: Legends of the Ancients,55,07/05/2020
47,Xbox,Simulation,Urban Utopia: City Builder Tycoon,40,5/15/2019
48,PlayStation,Simulation,Virtual Metropolis: Life Unbound,65,06/12/2021
49,Xbox,Simulation,Empire Architects: SimWorld,55,09/01/2021
50,PlayStation,Simulation,Ultimate Farming Simulator: Harvest Valley,50,08/06/2022
