Game ID,Rental Date,Return Date,Customer ID
1,10/08/2021,15/02/2021,6135
2,01/05/2022,,5613
3,02/09/2020,,1474
4,05/11/2020,,5929
5,18/12/2022,11/12/2022,1234
6,23/09/2020,13/06/2021,2352
7,08/01/2020,03/07/2023,4444
8,28/02/2021,09/03/2022,5555
9,12/05/2021,21/07/2023,3333
10,25/05/2023,,3551
11,26/04/2023,25/07/2023,5871
12,02/01/2021,28/08/2021,4321
13,16/08/2023,30/05/2020,8665
14,31/01/2023,28/09/2020,5990
15,05/05/2022,21/05/2021,6372
16,07/03/2022,,6251
17,10/02/2021,27/01/2023,1093
18,12/10/2022,05/08/2021,2933
19,24/03/2020,14/11/2020,5683
20,26/11/2022,13/07/2022,3709
21,21/05/2021,02/01/2020,9637
22,12/07/2023,,2606
23,15/10/2021,02/01/2020,4914
24,27/04/2023,,6995
25,06/11/2020,26/01/2021,3780
26,21/05/2021,13/10/2022,1526
27,31/01/2021,03/02/2020,5809
28,07/10/2020,17/01/2020,8384
29,09/07/2023,,3753
30,12/09/2023,09/03/2023,1649
31,31/07/2023,,9042
32,24/05/2023,,4677
33,29/11/2022,,3921
34,09/07/2021,08/06/2022,5497
35,12/05/2022,,9154
36,24/05/2023,07/08/2021,1323
37,08/12/2021,18/12/2020,2861
38,28/02/2022,,1278
39,19/05/2023,,7377
40,07/06/2021,25/06/2023,1548
41,30/12/2022,05/05/2020,4976
42,04/08/2021,,9431
43,24/06/2022,,7012
44,12/06/2023,22/08/2021,6034
45,03/10/2023,19/11/2020,4641
46,26/05/2021,22/07/2023,9155
47,09/08/2020,04/09/2023,3724
48,28/04/2021,15/05/2022,1179
49,03/02/2021,25/09/2021,7296
50,18/01/2022,31/05/2021,1652
51,16/05/2020,30/09/2020,7164
52,25/07/2022,,2563
53,15/06/2023,10/08/2022,2984
54,13/06/2023,27/05/2020,5113
55,19/02/2023,28/07/2020,1561
56,06/09/2022,28/11/2021,1425
57,04/11/2020,04/04/2023,7242
58,17/02/2023,,9112
59,26/08/2020,26/10/2023,9285
60,12/01/2020,,7226
61,28/02/2022,14/07/2021,5678
62,26/01/2023,14/11/2020,4573
63,21/04/2022,08/01/2021,2857
64,06/08/2022,29/09/2023,2998
65,15/04/2022,,8503
66,06/12/2021,31/10/2022,1822
67,13/07/2022,19/01/2023,5034
68,02/02/2021,,7936
69,06/02/2020,01/02/2023,1763
70,29/06/2023,18/11/2021,8568
71,12/10/2020,14/04/2020,2870
72,24/06/2022,,2649
73,27/05/2020,11/06/2023,1680
74,30/08/2022,15/02/2022,8169
75,29/12/2022,21/07/2020,7870
76,15/11/2022,,5864
77,28/02/2020,02/11/2020,5068
78,08/01/2022,28/11/2020,8012
79,03/10/2023,,4305
80,21/06/2022,09/09/2021,1816
81,03/11/2022,,7593
82,22/06/2022,20/02/2023,7273
83,17/12/2021,,1761
84,16/03/2021,14/06/2022,4881
85,21/07/2022,18/08/2022,6599
86,13/01/2022,17/03/2022,4593
87,26/12/2020,08/12/2021,7936
88,07/05/2023,,8789
89,24/12/2021,28/07/2020,2343
90,27/10/2020,12/08/2023,4809
91,01/10/2022,19/08/2022,7832
92,16/02/2023,,7298
93,28/04/2021,26/02/2022,2192
94,20/04/2021,,4979
95,05/05/2022,21/07/2021,7652
96,20/04/2020,12/01/2021,9267
97,19/01/2020,,5581
98,17/06/2021,26/03/2022,4985
99,13/09/2023,24/09/2021,2351
100,03/05/2022,02/06/2021,3136
101,11/07/2020,07/03/2022,5226
102,17/07/2022,04/02/2023,3421
103,28/09/2022,18/10/2023,4271
104,06/11/2022,16/05/2022,5883
105,24/08/2022,,4057
106,16/03/2020,,2524
107,03/02/2021,08/03/2022,2929
108,20/01/2021,,8362
109,21/07/2022,,8576
110,05/02/2022,14/05/2021,9944
111,21/12/2021,05/12/2020,4514
112,30/08/2022,17/05/2020,2977
113,25/04/2020,,2056
114,22/01/2020,18/03/2022,7704
115,02/04/2023,25/07/2022,1258
116,23/11/2022,25/10/2023,6196
117,06/04/2023,,6420
118,16/11/2022,,9256
119,23/01/2022,,1385
120,29/08/2022,,4160
121,16/09/2020,06/06/2020,6018
122,05/06/2020,,1241
123,15/06/2023,22/07/2023,3059
124,27/09/2023,27/11/2020,3196
125,26/04/2022,17/05/2020,1257
126,24/10/2022,12/09/2023,8911
127,15/05/2020,22/06/2022,6621
128,13/02/2023,27/04/2022,8090
129,04/07/2022,,5583
130,06/08/2020,15/01/2021,5500
131,07/03/2020,26/03/2023,4136
132,30/12/2020,13/04/2021,2037
133,15/07/2022,19/02/2021,1340
134,05/10/2022,04/12/2020,4831
135,06/08/2020,,9220
136,13/04/2022,09/02/2023,5562
137,22/10/2022,26/05/2023,6992
138,27/05/2020,,6935
139,19/01/2023,04/07/2023,1023
140,01/01/2020,05/04/2020,1604
141,15/01/2020,02/08/2023,7959
142,09/09/2020,22/01/2023,7244
143,25/05/2021,12/05/2022,6340
144,20/01/2022,30/03/2022,9664
145,10/07/2020,24/10/2023,9983
146,07/02/2022,,7046
147,10/10/2021,,3245
148,02/10/2020,13/06/2023,8936
149,15/07/2021,26/12/2020,9049
150,19/08/2023,,4269
151,17/08/2022,30/03/2021,7664
152,19/11/2022,31/07/2022,3230
153,09/06/2022,21/09/2020,7478
154,17/04/2022,,7306
155,26/07/2023,20/05/2022,3553
156,12/08/2023,,7376
157,16/05/2022,15/01/2020,9307
158,22/01/2021,01/08/2022,1036
159,30/01/2022,23/04/2020,6522
160,21/10/2022,29/09/2022,2631
161,16/03/2023,05/01/2020,3268
162,01/05/2022,25/03/2020,8780
163,09/10/2020,21/05/2020,4807
164,25/05/2021,,1178
165,01/11/2020,16/12/2022,9698
166,27/07/2020,05/05/2020,1564
167,18/11/2020,20/08/2022,4994
168,18/04/2022,,3635
169,02/01/2023,04/04/2023,6225
170,10/01/2021,30/04/2022,8866
171,02/03/2022,15/02/2023,3145
172,05/06/2022,17/09/2020,6930
173,01/06/2023,,5380
174,15/09/2022,17/01/2021,8153
175,07/11/2022,21/11/2020,3650
176,26/05/2020,16/06/2020,9730
177,18/08/2020,,1081
178,15/01/2021,10/11/2022,6395
179,12/08/2023,06/09/2020,8089
180,24/04/2023,06/04/2023,1145
181,10/09/2022,10/07/2022,7864
182,12/03/2022,,9370
183,10/10/2022,19/11/2020,7693
184,04/04/2022,,2024
185,19/02/2020,26/10/2023,7410
186,30/12/2020,,4701
187,15/05/2023,,7537
188,12/05/2022,20/12/2022,4815
189,29/02/2020,02/01/2023,5088
190,06/02/2023,,7499
191,31/10/2021,19/01/2020,2945
192,30/03/2020,17/10/2022,2863
193,28/11/2020,16/08/2020,7249
194,29/03/2022,29/07/2023,8291
195,15/12/2020,21/03/2023,5618
196,29/08/2022,28/06/2021,3070
197,22/07/2022,03/03/2022,8138
198,14/01/2020,07/07/2022,6036
199,30/03/2020,03/08/2023,8319
1,22/03/2022,,8318
